File,Corners,Circularity,H0,H1,H2,H3,H4,H5,H6
486.png,8,0.8657313673686421,-0.795306555615918,-3.48599313655276,-6.782951369895782,-9.222282523004438,-18.26812064483352,-11.981896234241008,-17.22668635867428
507.png,8,0.8675936721989211,-0.7970429111120034,-3.9281556428522486,-6.668425841674083,-9.15863482884192,-17.304342719972933,-11.412954160981336,-17.16347409841441
1824.png,8,0.8616942909791833,-0.7980917349390364,-5.744557686784813,-6.811114239355327,-11.152553419521656,-20.20724034227473,-14.190825665256556,-20.4069494805423
2436.png,8,0.8628357284256015,-0.7978642478850129,-4.56755949463863,-6.445053292779022,-9.844445568440298,-20.110292703516386,-12.687508743633899,-17.989207431918437
1658.png,8,0.8831097958231263,-0.7980862650598968,-6.123096155473302,-6.650931031776098,-11.142274110356691,-20.03910400527657,-14.529020084303001,-21.52904498655985
1623.png,8,0.866012821077713,-0.7978649552370736,-4.617089088386281,-6.589354829348942,-9.955508392604276,-18.23538928664856,-12.274913126556548,-18.96397391641047
2806.png,8,0.8685469514473804,-0.7980747957072958,-6.270310302981892,-7.376813287619805,-10.819161460717766,-19.959137812595934,-14.14562466081498,-20.294614633957167
182.png,8,0.8489184220932269,-0.7980204503850862,-5.855805659063309,-6.0269236589297766,-10.807120325361787,-19.42234081892305,-13.754268643763563,-19.335582554635682
844.png,8,0.8724235742598041,-0.7929475311443516,-3.214358047871855,-6.906280180345199,-8.977236783931637,-16.949510595263273,-10.613527041010906,-17.360192410395282
2967.png,8,0.8676408650795367,-0.7974183242958778,-4.168054092180339,-7.01928082838266,-9.412554731057526,-17.96444963376124,-11.504294971337307,-17.68043998881141
2834.png,8,0.8648483610498765,-0.797986363600439,-5.9895527187642195,-7.5773920866686755,-9.234419901919132,-18.047893551150555,-12.367779821218095,-17.676399843301557
1153.png,8,0.8738190592841312,-0.7979414290187767,-4.813148099420592,-7.504546741623835,-10.741548118636535,-20.27262255864999,-13.264494681293488,-19.900586583587813
1954.png,8,0.8784017102496,-0.7980816156261763,-5.536883653022135,-8.0873874327352,-11.315012205413392,-21.1003700894499,-15.245372246620656,-21.262763020974628
148.png,8,0.8719016215860821,-0.7979216375706276,-4.709862869594922,-6.462630242350637,-9.83359037566525,-18.366517349515163,-12.43058172046633,-18.022153216144535
2613.png,8,0.8698542556684968,-0.7975752696737493,-4.237379696141029,-8.83938048773193,-11.225085276128706,-21.603596853450373,-13.965035415841479,-21.306582193604232
1991.png,8,0.8706774475312967,-0.7977829499481115,-4.429315464170532,-6.524628185271916,-9.820973858851378,-18.149994502625283,-12.402401458645661,-18.13873129138413
2272.png,8,0.8813684710360309,-0.796645224226202,-3.768545561449513,-6.8468917349317415,-9.695696151237462,-17.97225210832302,-11.581789037447031,-18.77741694653141
226.png,8,0.8400198397630869,-0.7979439624945432,-5.347572778220145,-6.658967336268178,-9.558827431089247,-17.708540043589323,-12.519449720725644,-18.05077891015052
2863.png,8,0.8794149562106969,-0.7980386652645123,-6.543923122702133,-6.827766962481042,-9.6843554059355,-18.086763177176017,-13.487298460864636,-18.09518158530339
283.png,8,0.8809568961600476,-0.7978663794092327,-4.643020988514977,-7.656030199767398,-10.36314898634353,-19.508674365028206,-12.859112953856368,-19.538882536530252
840.png,8,0.8598676044412354,-0.7882780698960358,-2.930513165389673,-6.299504210037849,-8.166794304716184,-15.517200642324893,-9.779992183842083,-15.589747873614764
899.png,7,0.8791273964291115,-0.7962218860588369,-3.672169378816335,-6.4024463266692235,-9.103894956765041,-17.938681560501205,-11.378675178243636,-16.858561895565796
663.png,8,0.8823092075580283,-0.7974042573609195,-4.0762251250043535,-8.391818541867007,-11.205786244176071,-21.011912737092803,-13.571822967058154,-21.744240422478207
2723.png,8,0.8633320520964973,-0.7980645722325259,-5.514915332331162,-6.396619006139114,-10.123598472941406,-18.423184825860062,-12.888114245189168,-18.773348769789493
2327.png,8,0.8864883959300192,-0.7940519441793554,-3.3229891811614483,-6.644274726550974,-8.82652481202064,-16.98277647813867,-11.098559605428923,-16.595682124027167
666.png,8,0.8786843003758649,-0.7972974761957522,-4.014360734192579,-7.2281856929873936,-10.119357122047456,-20.908790809733784,-13.20557554120084,-18.793141277578044
1035.png,8,0.8676957065657108,-0.7974144753210753,-4.109489051502394,-6.391362612969827,-9.405460009831168,-17.311764370847943,-11.491476850593736,-18.02756063328077
1273.png,8,0.8790912863869444,-0.7968242066394058,-3.8392460370267547,-7.07389246085466,-9.783827242692363,-18.488125859040967,-11.754898156757854,-18.284404023671303
2859.png,8,0.8737350114148457,-0.7980546361430372,-6.29499082980461,-7.229254481254638,-9.647917424420456,-18.152449622106413,-12.841527898451647,-18.377424785156634
2185.png,8,0.8627374028123279,-0.7967788943326205,-3.8092477541289926,-6.897326146276161,-9.769147238538853,-18.55530940247098,-12.35050856998116,-18.131183407762546
548.png,8,0.8661383779922761,-0.7979727454208071,-4.905052032729594,-6.269689854518598,-9.806856298344993,-17.95784915198318,-12.447551855399627,-18.041433806026156
2835.png,8,0.8721085448409868,-0.7980589022369036,-5.806894251934226,-7.343906012008584,-10.119239130949188,-18.94519074108103,-13.063671218955157,-19.077234116369244
628.png,8,0.8579890372028347,-0.7976745584121728,-4.3257794570501105,-6.420872285162526,-9.966783783150237,-18.36013229236344,-12.526690103662421,-18.271169985358636
399.png,8,0.8540103692851475,-0.7952269688298744,-3.475846393836666,-7.478812899080528,-9.742215615542994,-18.35365453598067,-11.54401359595771,-19.5385774286733
1063.png,8,0.8654130979228017,-0.7979845585355098,-5.534298887567484,-6.485184104539787,-11.345344661570936,-20.547563675176754,-14.20597354691157,-20.327980518847784
574.png,8,0.8683614893588171,-0.7976910601377039,-4.306665561285276,-7.069443253064599,-10.43559901364349,-19.7931546550651,-12.813857798020935,-19.201937648942035
895.png,8,0.8573372830629911,-0.7955819680178404,-3.535835274392721,-6.549812403516898,-8.903441470151998,-16.79480828880351,-10.980851937081098,-16.767233349931093
1730.png,8,0.864699563086402,-0.7979508427730692,-5.353836956196126,-5.851785146673869,-9.990814386570085,-17.947450248595732,-12.677831238275372,-18.323810540576073
1072.png,8,0.8391674901613728,-0.7979566283260702,-5.3272288978808815,-6.063788907611501,-11.251460020539627,-20.58390521143883,-14.1194724749983,-19.91901578954438
946.png,8,0.8638047756456743,-0.7976383922305532,-4.290615176037951,-6.247123589087592,-9.24305760306284,-17.2127807452347,-11.693218770632283,-17.083507868692298
410.png,8,0.8520302975813943,-0.7954572687980477,-3.5157913202898694,-6.867237055490281,-9.207956041459509,-17.337049178128613,-11.147444137914977,-17.477371596777175
2634.png,8,0.8660613425734545,-0.7974783925853165,-4.143321038135588,-6.532522290349531,-9.689950639058363,-18.285110401554807,-12.134189899319242,-17.825927897855212
1794.png,8,0.8581067152279851,-0.7979597115277548,-4.939447738241963,-6.240012415342543,-9.711181731229482,-18.05030465751861,-12.488930429196873,-17.73186100729467
609.png,8,0.8803146487382473,-0.7980385121669047,-5.274357811288938,-6.409931936106845,-10.162982002349423,-18.977738691764888,-13.215106360477893,-18.46938941647661
529.png,8,0.8770031576301546,-0.7976361697469059,-4.286542000977238,-6.425594930493421,-9.617467938886263,-17.649851657600202,-11.821069765284783,-18.29501949976686
627.png,8,0.8824762254508345,-0.7978155105688575,-4.440031560731797,-6.7744827572580535,-10.091542562798468,-18.628376084950997,-12.418361806363723,-18.73463616869461
2198.png,8,0.8755565073724294,-0.7970010498998732,-3.885669836892693,-7.7108607067348025,-10.344924091878895,-19.571999762578365,-12.481996976518042,-19.483598804231928
1269.png,8,0.8367007965554893,-0.7939877127419798,-3.3192885343575944,-6.576308955902236,-8.9728627041238,-16.876413741523894,-10.756779006523924,-16.921889956052578
2459.png,8,0.8625088253889858,-0.7973368793983637,-4.052774097375315,-6.566234332562427,-9.74064326173828,-17.89604299652636,-11.773222227473077,-18.91720705651838
2041.png,8,0.8614317537520554,-0.7979123579833178,-4.680382456678158,-7.4983099143767165,-10.568694576433707,-19.894262763682907,-12.926510138188506,-19.667738370082425
1847.png,8,0.8832029386850121,-0.797900977550895,-4.621238345690922,-6.332088380274921,-10.188504956121221,-19.431693025077546,-14.277978177854537,-18.45116390584798
1562.png,8,0.870311510916003,-0.796883682044867,-3.856557820000905,-6.3065676584112484,-9.361458096915982,-17.206631277339802,-11.330958299891554,-17.845566396717782
1859.png,8,0.8695146240349608,-0.7980044985376282,-4.895500436733344,-6.768508820719971,-10.52909904234369,-19.93319189088066,-15.73731585654684,-19.184710132290565
443.png,8,0.8606650911516556,-0.7967822638402069,-3.8465053846923927,-8.404528295337437,-9.515237782590406,-18.72303868583754,-11.681389680262427,-18.55863482066612
823.png,8,0.8824415596750254,-0.7971448350379284,-3.940161123756659,-7.923012757424549,-10.808859926726244,-20.453196283819477,-13.032065869936655,-20.24536524232693
1689.png,8,0.8504106848907952,-0.7979315590814897,-5.627727196805877,-6.146318979660845,-10.46995851044364,-19.24971074711602,-13.339754654502817,-18.804371914548156
